"","player_id","year","bp","bp_converted"
"1904",103009,"1995",NA,NA
"1905",103009,"2004",NA,NA
"1906",103009,"1996",3,0
"1907",103009,"2006",NA,NA
"1908",103009,"2005",55,25
"1909",103009,"1994",NA,NA
"1910",103009,"2006",28,11
"1911",103009,"1999",4,0
"1912",103009,"2005",53,13
"1913",103009,"1998",4,1
"1914",103009,"1995",10,4
"1915",103009,"2000",10,3
"1916",103009,"1997",11,6
"1917",103009,"1993",NA,NA
"1918",103017,"2006",NA,NA
"1919",103017,"2004",NA,NA
"1920",103017,"2005",NA,NA
"1921",103017,"2007",NA,NA
"1922",103017,"1996",NA,NA
"1923",103017,"2000",279,133
"1924",103017,"1999",NA,NA
"1925",103017,"2000",NA,NA
"1926",103017,"2008",NA,NA
"1927",103017,"2001",NA,NA
"1928",103017,"2009",57,17
"1929",103017,"2007",164,67
"1930",103017,"1997",198,98
"1931",103017,"1998",NA,NA
"1932",103017,"2010",8,3
"1933",103017,"1995",22,11
"1934",103017,"2009",NA,NA
"1935",103017,"2002",NA,NA
"1936",103017,"1995",15,2
"1937",103017,"1997",66,20
"1938",103017,"2003",72,22
"1939",103017,"2010",7,3
"1940",103017,"1994",2,0
"1941",103017,"2003",160,69
"1942",103018,"2007",NA,NA
"1943",103018,"2000",NA,NA
"1944",103018,"1997",NA,NA
"1945",103018,"2008",NA,NA
"1946",103018,"1995",NA,NA
"1947",103018,"2004",NA,NA
"1948",103018,"2006",NA,NA
"1949",103018,"1996",NA,NA
"1950",103018,"1999",NA,NA
"1951",103018,"2005",NA,NA
"1952",103018,"2008",11,5
"1953",103018,"2007",81,32
"1954",103018,"1997",19,4
"1955",103018,"2003",NA,NA
"1956",103018,"2002",NA,NA
"1957",103018,"2001",NA,NA
"1958",103018,"1998",NA,NA
"1959",103018,"1998",16,1
"1960",103029,"1994",NA,NA
"1961",103029,"2004",NA,NA
"1963",103029,"2000",1,0
"1964",103029,"1995",6,2
"1965",103029,"2003",3,2
"1966",103029,"2005",NA,NA
"1967",103029,"1996",NA,NA
"1968",103029,"2001",3,1
"1969",103029,"2006",NA,NA
"1970",103029,"1993",NA,NA
"1972",103032,"2005",8,4
"1973",103032,"2005",12,4
"1974",103035,"2007",52,25
"1975",103035,"2004",NA,NA
"1976",103035,"2010",2,0
"1977",103035,"2006",60,22
"1978",103035,"2005",25,12
"1979",103035,"2004",26,10
"1980",103035,"2006",62,34
"1981",103035,"2007",NA,NA
"1982",103035,"2003",7,1
"1983",103035,"2010",12,7
"1984",103035,"2005",22,9
"1986",103050,"2007",NA,NA
"1987",103050,"2001",NA,NA
"1988",103050,"2004",NA,NA
"1989",103050,"2005",NA,NA
"1991",103050,"2003",NA,NA
"1992",103053,"2006",NA,NA
"1993",103053,"2002",NA,NA
"1994",103053,"2003",NA,NA
"1995",103053,"1999",NA,NA
"1996",103053,"2005",NA,NA
"1998",103053,"2001",NA,NA
"1999",103053,"2000",NA,NA
"2000",103060,"1995",9,4
"2001",103060,"1996",NA,NA
"2002",103060,"2000",15,4
"2003",103060,"2000",NA,NA
"2005",103060,"1995",15,6
"2006",103060,"1994",NA,NA
"2007",103060,"2001",NA,NA
"2008",103060,"2005",NA,NA
"2009",103060,"2004",NA,NA
"2010",103060,"1997",NA,NA
"2011",103060,"1997",17,9
"2012",103060,"1999",NA,NA
"2013",103060,"2001",2,1
"2014",103060,"2004",0,0
"2015",103060,"1998",NA,NA
"2018",103063,"2005",NA,NA
"2019",103063,"2005",26,9
"2020",103063,"2006",2,0
"2022",103063,"2002",18,10
"2023",103063,"2004",12,4
"2024",103063,"2002",21,6
