"","player_id","year","matches_won","total_matches"
"948",102463,"2000",0,1
"949",102463,"1999",1,6
"950",102477,"1998",2,3
"951",102477,"2002",3,6
"952",102477,"2003",5,11
"953",102477,"2001",1,2
"954",102477,"1996",3,14
"955",102477,"1994",1,5
"956",102477,"1997",8,17
"957",102477,"2000",2,11
"958",102477,"1999",0,3
"959",102477,"1995",5,14
"960",102494,"2000",7,18
"961",102494,"2003",10,24
"962",102494,"2004",5,15
"963",102494,"1999",1,2
"964",102494,"2001",5,13
"965",102494,"1997",1,2
"966",102494,"2006",4,16
"967",102494,"2005",7,21
"968",102494,"2002",2,5
"969",102496,"2005",0,1
"970",102496,"2006",0,2
"971",102496,"2004",1,4
"972",102497,"1996",0,2
"973",102497,"1997",0,1
"974",102497,"2001",0,1
"975",102497,"1995",0,1
"976",102497,"2000",0,1
"977",102497,"2002",1,2
"978",102497,"1999",1,3
"979",102497,"2005",0,1
"980",102501,"1999",0,2
"981",102501,"2000",0,1
"982",102512,"2007",3,4
"983",102512,"1999",0,1
"984",102512,"2006",0,1
"985",102512,"2009",0,2
"986",102512,"2003",1,2
"987",102512,"2008",3,10
"988",102512,"2000",0,1
"989",102538,"2000",4,10
"990",102538,"1994",3,4
